,0,0,0,0,0
0,ref-cycles,dcache-loads,dcache-load-misses,l2_rqsts.references,l2_rqsts.miss
1,"517,990","234,214","9,651","23,069",Performance
2,"526,630","275,356","9,680","23,229","8,380"
3,"523,593","284,405","9,657","23,031",Performance
4,"531,472","304,454","9,668","23,156","8,412"
5,"562,934","353,669","9,639","23,175",Performance
6,"525,727","284,930","9,656","23,158","8,362"
7,"538,432","306,596","9,662","23,107",Performance
8,"562,611","365,668","9,660","23,154","8,411"
9,"539,574","308,752","9,697","23,133",Performance
10,"573,002","371,472","9,672","23,180","8,421"
11,"570,184","388,507","9,685","23,129",Performance
12,"540,368","260,312","9,658","23,108","8,406"
13,"574,690","309,082","9,646","23,095",Performance
14,"584,216","333,545","9,650","23,033","8,372"
15,,,,,Performance
16,,,,,"8,421"
17,,,,,Performance
18,,,,,"8,398"
19,,,,,Performance
20,,,,,"8,400"
21,,,,,Performance
22,,,,,"8,392"
23,,,,,Performance
24,,,,,"8,367"
25,,,,,Performance
26,,,,,"8,388"
27,,,,,Performance
28,,,,,"8,384"
